mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Roxbury Crossing,place-rcmnl,552,1900,60,9,32,235,619
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Wood Island,place-wimnl,546,3545,74,7,48,144,24
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_03,AM_PEAK,Wollaston,place-wlsta,1567,1938,49,32,40,369,812
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Andrew,place-andrw,8801,2921,49,180,60,2005,478
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Green Street,place-grnst,5691,301,60,95,5,769,291
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_07,EVENING,Oak Grove,place-ogmnl,11991,0,60,200,0,200,426
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_09,NIGHT,South Station,place-sstat,4031,1063,49,82,22,189,853
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,North Quincy,place-nqncy,6029,20912,49,123,427,1390,848
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_03,Sunday,time_period_11,OFF_PEAK,Community College,place-ccmnl,10446,3835,13,804,295,11366,651
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Porter,place-portr,2398,33077,49,49,675,1620,919
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Braintree,place-brntn,19649,0,49,401,0,401,724
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Aquarium,place-aqucl,43431,19039,75,579,254,4884,50
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_03,Sunday,time_period_11,OFF_PEAK,Wollaston,place-wlsta,6562,1820,7,937,260,4043,1033
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,South Station,place-sstat,39931,91088,49,815,1859,4208,1105
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_03,Sunday,time_period_11,OFF_PEAK,Airport,place-aport,24135,51735,16,1508,3233,9649,71
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Forest Hills,place-forhl,0,2264,60,0,38,0,590
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_09,NIGHT,Airport,place-aport,4627,1134,75,62,15,129,129
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Kendall/MIT,place-knncl,4686,10213,49,96,208,1273,876
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,State,place-state,3608,95092,16,226,5943,8753,261
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Beachmont,place-bmmnl,53182,2263,75,709,30,2851,159
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Wonderland,place-wondl,0,62944,75,0,839,0,209
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_07,EVENING,Suffolk Downs,place-sdmnl,2379,752,75,32,10,703,114
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Shawmut,place-smmnl,236,69,49,5,1,49,905
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Park Street,place-pktrm,19902,22703,49,406,463,1982,491
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,State,place-state,16783,316,75,224,4,647,55
